Source: USDA National Nutrient Database for Standard Reference 28 Software v.3.5.5.2 2016-11-29
"Nutrients: Protein (g); Carbohydrate, by difference (g); Total lipid (fat) (g)"
"Food Groups: Beef Products; Cereal Grains and Pasta; Dairy and Egg Products; Finfish and Shellfish Products; Fruits and Fruit Juices; Legumes and Legume Products; Nut and Seed Products; Pork Products; Poultry Products; Vegetables and Vegetable Products"
Food Subset:All Foods
Ordered by:Food Name
Measured by:100 g
Report Run at: 12-08-2016T20:57
NDB_NO,Description,"Protein"(g)Per 100 g,"Carbohydrate, by difference"(g)Per 100 g,"Total lipid (fat)"(g)Per 100 g,
11029,"Beans, kidney, mature seeds, sprouted, raw",4.2,4.1,0.5,,
16145,"Beans, kidney, red, mature seeds, canned, drained solids",7.98,21.49,1.05,,
16335,"Beans, kidney, red, mature seeds, canned, drained solids, rinsed in tap water",8.12,20.8,0.93,,
16337,"Beans, kidney, red, mature seeds, canned, solids and liquid, low sodium",5.22,14.83,0.36,,
16034,"Beans, kidney, red, mature seeds, canned, solids and liquids",5.22,14.83,0.36,,
16333,"Beans, kidney, red, mature seeds, cooked, boiled, with salt",8.67,22.8,0.5,,
16033,"Beans, kidney, red, mature seeds, cooked, boiled, without salt",8.67,22.8,0.5,,
16032,"Beans, kidney, red, mature seeds, raw",22.53,61.29,1.06,,
16336,"Beans, kidney, royal red, mature seeds, cooked, boiled with salt",9.49,21.85,0.17,,
16036,"Beans, kidney, royal red, mature seeds, cooked, boiled, without salt",9.49,21.85,0.17,,
16035,"Beans, kidney, royal red, mature seeds, raw",25.33,58.33,0.45,,
43125,"Beans, liquid from stewed kidney beans",1.8,2.8,3.2,,
11626,"Beans, mung, mature seeds, sprouted, canned, drained solids",1.4,2.14,0.06,,
16039,"Beans, navy, mature seeds, canned",7.53,20.45,0.43,,
16338,"Beans, navy, mature seeds, cooked, boiled, with salt",8.23,26.05,0.62,,
16038,"Beans, navy, mature seeds, cooked, boiled, without salt",8.23,26.05,0.62,,
16037,"Beans, navy, mature seeds, raw",22.33,60.75,1.5,,
11046,"Beans, navy, mature seeds, sprouted, raw",6.15,13.05,0.7,,
16341,"Beans, pink, mature seeds, cooked, boiled, with salt",9.06,27.91,0.49,,
16041,"Beans, pink, mature seeds, cooked, boiled, without salt",9.06,27.91,0.49,,
16040,"Beans, pink, mature seeds, raw",20.96,64.19,1.13,,
16146,"Beans, pinto, canned, drained solids",6.99,20.22,0.9,,
11720,"Beans, pinto, immature seeds, frozen, cooked, boiled, drained, with salt",9.31,30.87,0.48,,
11049,"Beans, pinto, immature seeds, frozen, cooked, boiled, drained, without salt",9.31,30.87,0.48,,
11048,"Beans, pinto, immature seeds, frozen, unprepared",9.8,32.5,0.5,,
16345,"Beans, pinto, mature seeds, canned, drained solids, rinsed in tap water",7.04,20.77,0.97,,
16044,"Beans, pinto, mature seeds, canned, solids and liquids",4.6,15.18,0.56,,
16347,"Beans, pinto, mature seeds, canned, solids and liquids, low sodium",4.6,15.18,0.56,,
16343,"Beans, pinto, mature seeds, cooked, boiled, with salt",9.01,26.22,0.65,,
16043,"Beans, pinto, mature seeds, cooked, boiled, without salt",9.01,26.22,0.65,,
16042,"Beans, pinto, mature seeds, raw",21.42,62.55,1.23,,
11050,"Beans, shellie, canned, solids and liquids",1.76,6.19,0.19,,
16346,"Beans, small white, mature seeds, cooked, boiled, with salt",8.97,25.81,0.64,,
16046,"Beans, small white, mature seeds, cooked, boiled, without salt",8.97,25.81,0.64,,
16045,"Beans, small white, mature seeds, raw",21.11,62.25,1.18,,
11058,"Beans, snap, canned, all styles, seasoned, solids and liquids",0.83,3.49,0.2,,
11729,"Beans, snap, green, canned, no salt added, drained solids",1.12,4.32,0.46,,
11726,"Beans, snap, green, canned, no salt added, solids and liquids",0.8,3.5,0.1,,
11056,"Beans, snap, green, canned, regular pack, drained solids",1.05,4.19,0.41,,
11054,"Beans, snap, green, canned, regular pack, solids and liquids",0.72,3.27,0.17,,
11723,"Beans, snap, green, cooked, boiled, drained, with salt",1.89,7.88,0.28,,
11053,"Beans, snap, green, cooked, boiled, drained, without salt",1.89,7.88,0.28,,
11062,"Beans, snap, green, frozen, all styles, microwaved",1.98,6.98,0.41,,
11060,"Beans, snap, green, frozen, all styles, unprepared",1.79,7.54,0.21,,
11061,"Beans, snap, green, frozen, cooked, boiled, drained without salt",1.49,6.45,0.17,,
11731,"Beans, snap, green, frozen, cooked, boiled, drained, with salt",1.49,6.45,0.17,,
11063,"Beans, snap, green, microwaved",2.31,6.41,0.5,,
11052,"Beans, snap, green, raw",1.83,6.97,0.22,,
11933,"Beans, snap, yellow, canned, no salt added, drained solids",1.15,4.5,0.1,,
11728,"Beans, snap, yellow, canned, no salt added, solids and liquids",0.8,3.5,0.1,,
11932,"Beans, snap, yellow, canned, regular pack, drained solids",1.15,4.5,0.1,,
11727,"Beans, snap, yellow, canned, regular pack, solids and liquids",0.8,3.5,0.1,,
11725,"Beans, snap, yellow, cooked, boiled, drained, with salt",1.89,7.88,0.28,,
11724,"Beans, snap, yellow, cooked, boiled, drained, without salt",1.89,7.88,0.28,,
11730,"Beans, snap, yellow, frozen, all styles, unprepared",1.8,7.58,0.21,,
