Source: USDA National Nutrient Database for Standard Reference 28 Software v.3.5.5.2 2016-11-29
"Nutrients: Protein (g); Carbohydrate, by difference (g); Total lipid (fat) (g)"
"Food Groups: Beef Products; Cereal Grains and Pasta; Dairy and Egg Products; Finfish and Shellfish Products; Fruits and Fruit Juices; Legumes and Legume Products; Nut and Seed Products; Pork Products; Poultry Products; Vegetables and Vegetable Products"
Food Subset:All Foods
Ordered by:Food Name
Measured by:100 g
Report Run at: 12-08-2016T20:57
NDB_NO,Description,"Protein"(g)Per 100 g,"Carbohydrate, by difference"(g)Per 100 g,"Total lipid (fat)"(g)Per 100 g,
10082,"Pork, fresh, shoulder, blade, boston (steaks), separable lean and fat, cooked, broiled",25.58,0.0,16.61,,
10086,"Pork, fresh, shoulder, blade, boston (steaks), separable lean only, cooked, broiled",26.74,0.0,12.54,,
10071,"Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted",23.28,0.0,21.39,,
10070,"Pork, fresh, shoulder, whole, separable lean and fat, raw",17.18,0.0,17.99,,
10073,"Pork, fresh, shoulder, whole, separable lean only, cooked, roasted",25.33,0.0,13.54,,
10072,"Pork, fresh, shoulder, whole, separable lean only, raw",19.55,0.0,7.14,,
10089,"Pork, fresh, spareribs, separable lean and fat, cooked, braised",29.06,0.0,30.3,,
10940,"Pork, fresh, spareribs, separable lean and fat, cooked, roasted",20.89,0.0,30.86,,
10088,"Pork, fresh, spareribs, separable lean and fat, raw",15.47,0.0,23.4,,
10097,"Pork, fresh, variety meats and by-products, brain, cooked, braised",12.14,0.0,9.51,,
10096,"Pork, fresh, variety meats and by-products, brain, raw",10.28,0.0,9.21,,
10099,"Pork, fresh, variety meats and by-products, chitterlings, cooked, simmered",12.49,0.0,20.32,,
10098,"Pork, fresh, variety meats and by-products, chitterlings, raw",7.64,0.0,16.61,,
10101,"Pork, fresh, variety meats and by-products, ears, frozen, cooked, simmered",15.95,0.2,10.8,,
10100,"Pork, fresh, variety meats and by-products, ears, frozen, raw",22.45,0.6,15.1,,
10173,"Pork, fresh, variety meats and by-products, feet, cooked, simmered",21.94,0.0,16.05,,
10102,"Pork, fresh, variety meats and by-products, feet, raw",23.16,0.0,12.59,,
10104,"Pork, fresh, variety meats and by-products, heart, cooked, braised",23.6,0.4,5.05,,
10103,"Pork, fresh, variety meats and by-products, heart, raw",17.27,1.33,4.36,,
10105,"Pork, fresh, variety meats and by-products, jowl, raw",6.38,0.0,69.61,,
10107,"Pork, fresh, variety meats and by-products, kidneys, cooked, braised",25.4,0.0,4.7,,
10106,"Pork, fresh, variety meats and by-products, kidneys, raw",16.46,0.0,3.25,,
10109,"Pork, fresh, variety meats and by-products, leaf fat, raw",1.76,0.0,94.16,,
10111,"Pork, fresh, variety meats and by-products, liver, cooked, braised",26.02,3.76,4.4,,
10110,"Pork, fresh, variety meats and by-products, liver, raw",21.39,2.47,3.65,,
10113,"Pork, fresh, variety meats and by-products, lungs, cooked, braised",16.6,0.0,3.1,,
10112,"Pork, fresh, variety meats and by-products, lungs, raw",14.08,0.0,2.72,,
10114,"Pork, fresh, variety meats and by-products, mechanically separated, raw",15.03,0.0,26.54,,
10116,"Pork, fresh, variety meats and by-products, pancreas, cooked, braised",28.5,0.0,10.8,,
10115,"Pork, fresh, variety meats and by-products, pancreas, raw",18.56,0.0,13.24,,
10118,"Pork, fresh, variety meats and by-products, spleen, cooked, braised",28.2,0.0,3.2,,
10117,"Pork, fresh, variety meats and by-products, spleen, raw",17.86,0.0,2.59,,
10863,"Pork, fresh, variety meats and by-products, stomach, cooked, simmered",21.4,0.09,7.26,,
10119,"Pork, fresh, variety meats and by-products, stomach, raw",16.85,0.0,10.14,,
10175,"Pork, fresh, variety meats and by-products, tail, cooked, simmered",17.0,0.0,35.8,,
10174,"Pork, fresh, variety meats and by-products, tail, raw",17.75,0.0,33.5,,
10122,"Pork, fresh, variety meats and by-products, tongue, cooked, braised",24.1,0.0,18.6,,
10121,"Pork, fresh, variety meats and by-products, tongue, raw",16.3,0.0,17.2,,
10974,"Pork, ground, 72% lean / 28% fat, cooked, crumbles",22.83,1.39,32.93,,
10977,"Pork, ground, 72% lean / 28% fat, cooked, pan-broiled",22.59,1.08,31.42,,
10975,"Pork, ground, 84% lean / 16% fat, cooked, crumbles",26.69,0.58,20.04,,
10978,"Pork, ground, 84% lean / 16% fat, cooked, pan-broiled",27.14,0.0,21.39,,
10972,"Pork, ground, 84% lean / 16% fat, raw",17.99,0.44,16.0,,
10976,"Pork, ground, 96% lean / 4% fat, cooked, crumbles",30.55,0.0,7.15,,
10979,"Pork, ground, 96% lean / 4% fat, cooked, pan-broiled",31.69,0.57,6.2,,
10973,"Pork, ground, 96% lean / 4% fat, raw",21.1,0.21,4.0,,
10957,"Pork, Leg Cap Steak, boneless, separable lean and fat, raw",21.64,0.0,3.39,,
10962,"Pork, Leg sirloin tip roast, boneless, separable lean and fat, cooked, braised",31.11,0.0,2.56,,
10963,"Pork, Leg sirloin tip roast, boneless, separable lean and fat, raw",22.88,0.0,1.71,,
10956,"Pork, loin, leg cap steak, boneless, separable lean and fat, cooked, broiled",27.57,0.0,4.41,,
43297,"Pork, oriental style, dehydrated",11.8,1.4,62.4,,
10898,"Pork, pickled pork hocks",19.11,0.0,10.54,,
10959,"Pork, Shoulder breast, boneless, separable lean and fat, cooked, broiled",28.47,0.0,4.49,,
10958,"Pork, Shoulder breast, boneless, separable lean and fat, raw",22.54,0.0,3.4,,
10961,"Pork, Shoulder petite tender, boneless, separable lean and fat, raw",21.65,0.0,3.91,,
10960,"Pork, shoulder, petite tender, boneless, separable lean and fat, cooked, broiled",27.47,0.0,4.23,,
11413,"Potato flour",6.9,83.1,0.34,,
11672,"Potato pancakes",6.08,27.81,14.76,,
11399,"Potato puffs, frozen, oven-heated",2.13,27.29,9.05,,
11398,"Potato puffs, frozen, unprepared",1.93,24.8,8.71,,
11414,"Potato salad, home-prepared",2.68,11.17,8.2,,
11385,"Potatoes, au gratin, dry mix, prepared with water, whole milk and butter",2.3,12.84,4.12,,
11384,"Potatoes, au gratin, dry mix, unprepared",8.9,74.31,3.7,,
11373,"Potatoes, au gratin, home-prepared from recipe using butter",5.06,11.27,7.59,,
11843,"Potatoes, au gratin, home-prepared from recipe using margarine",5.06,11.27,7.59,,
11828,"Potatoes, baked, flesh and skin, with salt",2.5,21.15,0.13,,
11674,"Potatoes, baked, flesh and skin, without salt",2.5,21.15,0.13,,
11829,"Potatoes, baked, flesh, with salt",1.96,21.55,0.1,,
11363,"Potatoes, baked, flesh, without salt",1.96,21.55,0.1,,
11830,"Potatoes, baked, skin only, with salt",4.29,46.06,0.1,,
11364,"Potatoes, baked, skin, without salt",4.29,46.06,0.1,,
11831,"Potatoes, boiled, cooked in skin, flesh, with salt",1.87,20.13,0.1,,
11365,"Potatoes, boiled, cooked in skin, flesh, without salt",1.87,20.13,0.1,,
11832,"Potatoes, boiled, cooked in skin, skin, with salt",2.86,17.2,0.1,,
11366,"Potatoes, boiled, cooked in skin, skin, without salt",2.86,17.21,0.1,,
11833,"Potatoes, boiled, cooked without skin, flesh, with salt",1.71,20.01,0.1,,
11367,"Potatoes, boiled, cooked without skin, flesh, without salt",1.71,20.01,0.1,,
11376,"Potatoes, canned, drained solids",1.41,13.61,0.21,,
43311,"Potatoes, canned, drained solids, no salt added",1.4,13.6,0.2,,
11374,"Potatoes, canned, solids and liquids",1.2,9.89,0.11,,
11352,"Potatoes, flesh and skin, raw",2.05,17.49,0.09,,
11403,"Potatoes, french fried, all types, salt added in processing, frozen, home-prepared, oven heated",2.75,25.55,5.48,,
11402,"Potatoes, french fried, all types, salt added in processing, frozen, unprepared",2.24,24.81,4.66,,
11842,"Potatoes, french fried, all types, salt not added in processing, frozen, as purchased",2.24,24.81,4.66,,
11841,"Potatoes, french fried, all types, salt not added in processing, frozen, oven-heated",2.66,28.71,5.22,,
11406,"Potatoes, french fried, cottage-cut, salt not added in processing, frozen, as purchased",2.42,23.98,5.78,,
11407,"Potatoes, french fried, cottage-cut, salt not added in processing, frozen, oven-heated",3.44,34.03,8.2,,
11359,"Potatoes, french fried, crinkle or regular cut, salt added in processing, frozen, as purchased",2.34,23.96,4.99,,
11360,"Potatoes, french fried, crinkle or regular cut, salt added in processing, frozen, oven-heated",2.51,27.5,5.13,,
31031,"Potatoes, french fried, cross cut, frozen, unprepared",2.7,22.95,10.0,,
11394,"Potatoes, french fried, shoestring, salt added in processing, frozen, as purchased",2.16,25.59,6.24,,
11395,"Potatoes, french fried, shoestring, salt added in processing, frozen, oven-heated",2.9,31.66,6.76,,
31030,"Potatoes, french fried, steak cut, salt not added in processing, frozen, unprepared",2.4,24.31,3.42,,
11411,"Potatoes, french fried, steak fries, salt added in processing, frozen, as purchased",2.19,23.51,3.39,,
11412,"Potatoes, french fried, steak fries, salt added in processing, frozen, oven-heated",2.57,26.98,3.76,,
31029,"Potatoes, french fried, wedge cut, frozen, unprepared",2.56,22.22,7.47,,
11840,"Potatoes, frozen, french fried, par fried, cottage-cut, prepared, heated in oven, with salt",3.44,34.03,8.2,,
11409,"Potatoes, frozen, french fried, par fried, extruded, prepared, heated in oven, without salt",3.55,39.68,18.71,,
11408,"Potatoes, frozen, french fried, par fried, extruded, unprepared",2.83,30.15,14.95,,
11400,"Potatoes, frozen, whole, unprepared",2.38,17.47,0.16,,
11391,"Potatoes, hash brown, frozen, plain, prepared, pan fried in canola oil",2.65,28.51,11.59,,
11390,"Potatoes, hash brown, frozen, plain, unprepared",2.06,17.72,0.62,,
11392,"Potatoes, hash brown, frozen, with butter sauce, unprepared",1.87,18.28,6.66,,
11370,"Potatoes, hash brown, home-prepared",3.0,35.11,12.52,,
31022,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",3.24,33.99,10.3,,
31021,"Potatoes, hash brown, refrigerated, unprepared",1.75,19.16,0.08,,
11378,"Potatoes, mashed, dehydrated, flakes without milk, dry form",8.34,81.17,0.41,,
11382,"Potatoes, mashed, dehydrated, granules with milk, dry form",10.9,77.7,1.1,,
11380,"Potatoes, mashed, dehydrated, granules without milk, dry form",8.22,85.51,0.54,,
11379,"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and butter added",1.77,10.87,5.13,,
11930,"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and margarine added",1.9,15.02,5.6,,
11383,"Potatoes, mashed, dehydrated, prepared from granules with milk, water and margarine added",2.13,16.13,4.8,,
11381,"Potatoes, mashed, dehydrated, prepared from granules without milk, whole milk and butter added",2.05,14.36,4.96,,
11657,"Potatoes, mashed, home-prepared, whole milk added",1.91,17.57,0.57,,
11934,"Potatoes, mashed, home-prepared, whole milk and butter added",1.86,16.81,4.22,,
11371,"Potatoes, mashed, home-prepared, whole milk and margarine added",1.96,16.94,4.2,,
11929,"Potatoes, mashed, prepared from granules, without milk, whole milk and margarine",2.05,14.4,4.93,,
31036,"Potatoes, mashed, ready-to-eat",1.97,13.29,5.01,,
11675,"Potatoes, microwaved, cooked in skin, flesh and skin, without salt",2.44,24.24,0.1,,
11835,"Potatoes, microwaved, cooked in skin, flesh, with salt",2.1,23.28,0.1,,
11368,"Potatoes, microwaved, cooked in skin, flesh, without salt",2.1,23.28,0.1,,
11369,"Potatoes, microwaved, cooked in skin, skin, without salt",4.39,29.63,0.1,,
11834,"Potatoes, microwaved, cooked, in skin, flesh and skin, with salt",2.44,24.24,0.1,,
11836,"Potatoes, microwaved, cooked, in skin, skin with salt",4.39,29.63,0.1,,
11671,"Potatoes, o'brien, home-prepared",2.35,15.47,1.28,,
11362,"Potatoes, raw, skin",2.57,12.44,0.1,,
11358,"Potatoes, red, flesh and skin, baked",2.3,19.59,0.15,,
11355,"Potatoes, red, flesh and skin, raw",1.89,15.9,0.14,,
11361,"Potatoes, roasted, salt added in processing, frozen, unprepared",2.22,26.15,1.81,,
11356,"Potatoes, Russet, flesh and skin, baked",2.63,21.44,0.13,,
11353,"Potatoes, russet, flesh and skin, raw",2.14,18.07,0.08,,
11387,"Potatoes, scalloped, dry mix, prepared with water, whole milk and butter",2.12,12.77,4.3,,
11386,"Potatoes, scalloped, dry mix, unprepared",7.77,73.93,4.59,,
11372,"Potatoes, scalloped, home-prepared with butter",2.87,10.78,3.68,,
11844,"Potatoes, scalloped, home-prepared with margarine",2.87,10.78,3.68,,
11357,"Potatoes, white, flesh and skin, baked",2.1,21.08,0.15,,
11354,"Potatoes, white, flesh and skin, raw",1.68,15.71,0.1,,
31027,"Potatoes, yellow fleshed, french fried, frozen, unprepared",2.47,25.01,5.84,,
31028,"Potatoes, yellow fleshed, hash brown, shredded, salt added in processing, frozen, unprepared",2.04,17.98,0.07,,
31026,"Potatoes, yellow fleshed, roasted, salt added in processing, frozen, unprepared",1.99,23.44,1.85,,
05301,"Poultry, mechanically deboned, from backs and necks with skin, raw",11.39,0.0,24.73,,
05302,"Poultry, mechanically deboned, from backs and necks without skin, raw",13.79,0.0,15.48,,
05303,"Poultry, mechanically deboned, from mature hens, raw",14.72,0.0,19.98,,
09287,"Prickly pears, raw",0.73,9.57,0.51,,
01224,"Protein supplement, milk based, Muscle Milk Light, powder",50.0,22.0,12.0,,
01223,"Protein supplement, milk based, Muscle Milk, powder",45.71,18.5,17.14,,
09294,"Prune juice, canned",0.61,17.45,0.03,,
09423,"Prune puree",2.1,65.1,0.2,,
09288,"Prunes, canned, heavy syrup pack, solids and liquids",0.87,27.8,0.2,,
09290,"Prunes, dehydrated (low-moisture), stewed",1.23,29.7,0.24,,
09289,"Prunes, dehydrated (low-moisture), uncooked",3.7,89.07,0.73,,
09295,"Pummelo, raw",0.76,9.62,0.04,,
11417,"Pumpkin flowers, cooked, boiled, drained, without salt",1.09,3.3,0.08,,
11416,"Pumpkin flowers, raw",1.03,3.28,0.07,,
11848,"Pumpkin leaves, cooked, boiled, drained, with salt",2.72,3.39,0.22,,
11419,"Pumpkin leaves, cooked, boiled, drained, without salt",2.72,3.39,0.22,,
11418,"Pumpkin leaves, raw",3.15,2.33,0.4,,
11426,"Pumpkin pie mix, canned",1.09,26.39,0.13,,
11846,"Pumpkin, canned, with salt",1.1,8.09,0.28,,
11424,"Pumpkin, canned, without salt",1.1,8.09,0.28,,
11845,"Pumpkin, cooked, boiled, drained, with salt",0.72,4.31,0.07,,
11423,"Pumpkin, cooked, boiled, drained, without salt",0.72,4.9,0.07,,
11847,"Pumpkin, flowers, cooked, boiled, drained, with salt",1.09,3.18,0.08,,
11422,"Pumpkin, raw",1.0,6.5,0.1,,
11849,"Purslane, cooked, boiled, drained, with salt",1.49,3.55,0.19,,
11428,"Purslane, cooked, boiled, drained, without salt",1.49,3.55,0.19,,
11427,"Purslane, raw",2.03,3.39,0.36,,
05159,"Quail, breast, meat only, raw",22.59,0.0,2.99,,
43282,"Quail, cooked, total edible",25.1,0.0,14.1,,
05157,"Quail, meat and skin, raw",19.63,0.0,12.05,,
05158,"Quail, meat only, raw",21.76,0.0,4.53,,
09296,"Quinces, raw",0.4,15.3,0.1,,
20137,"Quinoa, cooked",4.4,21.3,1.92,,
20035,"Quinoa, uncooked",14.12,64.16,6.07,,
11952,"Radicchio, raw",1.43,4.48,0.25,,
11676,"Radish seeds, sprouted, raw",3.81,3.6,2.53,,
43142,"Radishes, hawaiian style, pickled",1.1,5.2,0.3,,
11850,"Radishes, oriental, cooked, boiled, drained, with salt",0.67,3.43,0.24,,
11431,"Radishes, oriental, cooked, boiled, drained, without salt",0.67,3.43,0.24,,
11432,"Radishes, oriental, dried",7.9,63.37,0.72,,
11430,"Radishes, oriental, raw",0.6,4.1,0.1,,
11429,"Radishes, raw",0.68,3.4,0.1,,
11637,"Radishes, white icicle, raw",1.1,2.63,0.1,,
09297,"Raisins, golden seedless",3.39,79.52,0.46,,
09299,"Raisins, seeded",2.52,78.47,0.54,,
09298,"Raisins, seedless",3.07,79.18,0.46,,
09301,"Rambutan, canned, syrup pack",0.65,20.87,0.21,,
09304,"Raspberries, canned, red, heavy syrup pack, solids and liquids",0.83,23.36,0.12,,
09306,"Raspberries, frozen, red, sweetened",0.7,26.16,0.16,,
09518,"Raspberries, frozen, unsweetened",1.2,11.94,0.65,,
09302,"Raspberries, raw",1.2,11.94,0.65,,
01200,"Reddi Wip Fat Free Whipped Topping",3.0,25.0,5.0,,
16172,"Refried beans, canned, fat-free",5.34,13.5,0.45,,
16103,"Refried beans, canned, traditional style (includes USDA commodity)",4.98,13.55,2.01,,
16403,"Refried beans, canned, traditional, reduced sodium",4.98,13.55,2.01,,
16171,"Refried beans, canned, vegetarian",5.28,13.5,0.87,,
09310,"Rhubarb, frozen, cooked, with sugar",0.39,31.2,0.05,,
09309,"Rhubarb, frozen, uncooked",0.55,5.1,0.11,,
09307,"Rhubarb, raw",0.9,4.54,0.2,,
20060,"Rice bran, crude",13.35,49.69,20.85,,
20090,"Rice flour, brown",7.23,76.48,2.78,,
20061,"Rice flour, white, unenriched",5.95,80.13,1.42,,
20134,"Rice noodles, cooked",1.79,24.01,0.2,,
20133,"Rice noodles, dry",5.95,80.18,0.56,,
20037,"Rice, brown, long-grain, cooked",2.74,25.58,0.97,,
20036,"Rice, brown, long-grain, raw",7.54,76.25,3.2,,
20041,"Rice, brown, medium-grain, cooked",2.32,23.51,0.83,,
20040,"Rice, brown, medium-grain, raw",7.5,76.17,2.68,,
20651,"Rice, brown, parboiled, cooked, UNCLE BENS",3.09,31.33,0.85,,
20042,"Rice, brown, parboiled, dry, UNCLE BEN'S",7.6,78.68,2.75,,
20055,"Rice, white, glutinous, unenriched, cooked",2.02,21.09,0.19,,
20054,"Rice, white, glutinous, unenriched, uncooked",6.81,81.68,0.55,,
20047,"Rice, white, long-grain, parboiled, enriched, cooked",2.91,26.05,0.37,,
20046,"Rice, white, long-grain, parboiled, enriched, dry",7.51,80.89,1.03,,
20447,"Rice, white, long-grain, parboiled, unenriched, cooked",2.91,26.05,0.37,,
20446,"Rice, white, long-grain, parboiled, unenriched, dry",7.51,80.89,1.03,,
20048,"Rice, white, long-grain, precooked or instant, enriched, dry",7.82,82.32,0.94,,
20049,"Rice, white, long-grain, precooked or instant, enriched, prepared",2.18,26.76,0.5,,
20345,"Rice, white, long-grain, regular, cooked, enriched, with salt",2.69,28.17,0.28,,
20545,"Rice, white, long-grain, regular, cooked, unenriched, with salt",2.69,28.17,0.28,,
20045,"Rice, white, long-grain, regular, enriched, cooked",2.69,28.17,0.28,,
20044,"Rice, white, long-grain, regular, raw, enriched",7.13,79.95,0.66,,
20444,"Rice, white, long-grain, regular, raw, unenriched",7.13,79.95,0.66,,
20445,"Rice, white, long-grain, regular, unenriched, cooked without salt",2.69,28.17,0.28,,
20451,"Rice, white, medium-grain, cooked, unenriched",2.38,28.59,0.21,,
20051,"Rice, white, medium-grain, enriched, cooked",2.38,28.59,0.21,,
20050,"Rice, white, medium-grain, raw, enriched",6.61,79.34,0.58,,
20450,"Rice, white, medium-grain, raw, unenriched",6.61,79.34,0.58,,
20453,"Rice, white, short-grain, cooked, unenriched",2.36,28.73,0.19,,
20053,"Rice, white, short-grain, enriched, cooked",2.36,28.73,0.19,,
20052,"Rice, white, short-grain, enriched, uncooked",6.5,79.15,0.52,,
20452,"Rice, white, short-grain, raw, unenriched",6.5,79.15,0.52,,
20058,"Rice, white, steamed, Chinese restaurant",3.2,33.88,0.27,,
09311,"Roselle, raw",0.96,11.31,0.64,,
09428,"Rowal, raw",2.3,23.9,2.0,,
09528,"Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C",0.5,10.53,0.1,,
05363,"Ruffed Grouse, breast meat, skinless, raw",25.94,0.0,0.88,,
11851,"Rutabagas, cooked, boiled, drained, with salt",0.93,6.84,0.18,,
11436,"Rutabagas, cooked, boiled, drained, without salt",0.93,6.84,0.18,,
11435,"Rutabagas, raw",1.08,8.62,0.16,,
20063,"Rye flour, dark",15.91,68.63,2.22,,
20065,"Rye flour, light",9.82,76.68,1.33,,
20064,"Rye flour, medium",10.88,75.43,1.52,,
20062,"Rye grain",10.34,75.86,1.63,,
15264,"Salmon, sockeye, canned, drained solids, without skin and bones",26.33,0.0,5.87,,
15253,"Salmon, sockeye, canned, total can contents",20.63,0.0,7.17,,
11437,"Salsify, (vegetable oyster), raw",3.3,18.6,0.2,,
11852,"Salsify, cooked, boiled, drained, with salt",2.73,15.36,0.17,,
11438,"Salsify, cooked, boiled, drained, without salt",2.73,15.36,0.17,,
43135,"Sandwich spread, meatless",8.0,--,9.0,,
09313,"Sapodilla, raw",0.44,19.96,1.1,,
09314,"Sapote, mamey, raw",1.45,32.1,0.46,,
11439,"Sauerkraut, canned, solids and liquids",0.91,4.28,0.14,,
16107,"Sausage, meatless",20.28,8.09,18.16,,
11442,"Seaweed, agar, raw",0.54,6.75,0.03,,
31019,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",15.34,46.24,1.39,,
31020,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",1.86,5.62,0.17,,
11444,"Seaweed, irishmoss, raw",1.51,12.29,0.16,,
11445,"Seaweed, kelp, raw",1.68,9.57,0.56,,
11446,"Seaweed, laver, raw",5.81,5.11,0.28,,
11667,"Seaweed, spirulina, dried",57.47,23.9,7.72,,
11669,"Seaweed, wakame, raw",3.03,9.14,0.64,,
12003,"Seeds, breadfruit seeds, boiled",5.3,32.0,2.3,,
12001,"Seeds, breadfruit seeds, raw",7.4,29.24,5.59,,
12158,"Seeds, breadfruit seeds, roasted",6.2,40.1,2.7,,
12005,"Seeds, breadnut tree seeds, dried",8.62,79.39,1.68,,
12004,"Seeds, breadnut tree seeds, raw",5.97,46.28,0.99,,
12006,"Seeds, chia seeds, dried",16.54,42.12,30.74,,
12008,"Seeds, cottonseed flour, low fat (glandless)",49.83,36.1,1.41,,
12007,"Seeds, cottonseed flour, partially defatted (glandless)",40.96,40.54,6.2,,
12160,"Seeds, cottonseed kernels, roasted (glandless)",32.59,21.9,36.29,,
12011,"Seeds, cottonseed meal, partially defatted (glandless)",49.1,38.43,4.77,,
12220,"Seeds, flaxseed",18.29,28.88,42.16,,
12012,"Seeds, hemp seed, hulled",31.56,8.67,48.75,,
12013,"Seeds, lotus seeds, dried",15.41,64.47,1.97,,
12205,"Seeds, lotus seeds, raw",4.13,17.28,0.53,,
12014,"Seeds, pumpkin and squash seed kernels, dried",30.23,10.71,49.05,,
12516,"Seeds, pumpkin and squash seed kernels, roasted, with salt added",29.84,14.71,49.05,,
12016,"Seeds, pumpkin and squash seed kernels, roasted, without salt",29.84,14.71,49.05,,
12663,"Seeds, pumpkin and squash seeds, whole, roasted, with salt added",18.55,53.75,19.4,,
12163,"Seeds, pumpkin and squash seeds, whole, roasted, without salt",18.55,53.75,19.4,,
12021,"Seeds, safflower seed kernels, dried",16.18,34.29,38.45,,
12022,"Seeds, safflower seed meal, partially defatted",35.62,48.73,2.39,,
12169,"Seeds, sesame butter, paste",18.08,24.05,50.87,,
12198,"Seeds, sesame butter, tahini, from raw and stone ground kernels",17.81,26.19,48.0,,
12166,"Seeds, sesame butter, tahini, from roasted and toasted kernels (most common type)",17.0,21.19,53.76,,
12171,"Seeds, sesame butter, tahini, from unroasted kernels (non-chemically removed seed coat)",17.95,17.89,56.44,,
12698,"Seeds, sesame butter, tahini, type of kernels unspecified",17.4,21.5,53.01,,
12170,"Seeds, sesame flour, high-fat",30.78,26.62,37.1,,
12033,"Seeds, sesame flour, low-fat",50.14,35.51,1.75,,
12032,"Seeds, sesame flour, partially defatted",40.32,35.14,11.89,,
12034,"Seeds, sesame meal, partially defatted",16.96,26.04,48.0,,
12201,"Seeds, sesame seed kernels, dried (decorticated)",20.45,11.73,61.21,,
12529,"Seeds, sesame seed kernels, toasted, with salt added (decorticated)",16.96,26.04,48.0,,
12029,"Seeds, sesame seed kernels, toasted, without salt added (decorticated)",16.96,26.04,48.0,,
12023,"Seeds, sesame seeds, whole, dried",17.73,23.45,49.67,,
12024,"Seeds, sesame seeds, whole, roasted and toasted",16.96,25.74,48.0,,
12193,"Seeds, sisymbrium sp. seeds, whole, dried",12.14,58.26,4.6,,
12540,"Seeds, sunflower seed butter, with salt added",17.28,23.32,55.2,,
12040,"Seeds, sunflower seed butter, without salt",17.28,23.32,55.2,,
12041,"Seeds, sunflower seed flour, partially defatted",48.06,35.83,1.61,,
12536,"Seeds, sunflower seed kernels from shell, dry roasted, with salt added",19.33,15.31,49.8,,
12036,"Seeds, sunflower seed kernels, dried",20.78,20.0,51.46,,
12537,"Seeds, sunflower seed kernels, dry roasted, with salt added",19.33,24.07,49.8,,
12037,"Seeds, sunflower seed kernels, dry roasted, without salt",19.33,24.07,49.8,,
12538,"Seeds, sunflower seed kernels, oil roasted, with salt added",20.06,22.89,51.3,,
12038,"Seeds, sunflower seed kernels, oil roasted, without salt",20.06,22.89,51.3,,
12539,"Seeds, sunflower seed kernels, toasted, with salt added",17.21,20.59,56.8,,
12039,"Seeds, sunflower seed kernels, toasted, without salt",17.21,20.59,56.8,,
12174,"Seeds, watermelon seed kernels, dried",28.33,15.31,47.37,,
20066,"Semolina, enriched",12.68,72.83,1.05,,
20466,"Semolina, unenriched",12.68,72.83,1.05,,
11922,"Sesbania flower, cooked, steamed, with salt",1.14,5.1,0.05,,
11448,"Sesbania flower, cooked, steamed, without salt",1.14,5.23,0.05,,
11447,"Sesbania flower, raw",1.28,6.73,0.04,,
11640,"Shallots, freeze-dried",12.3,80.7,0.5,,
11677,"Shallots, raw",2.5,16.8,0.1,,
16259,"SILK Banana-Strawberry soy yogurt",2.35,17.06,1.18,,
16256,"SILK Black Cherry soy yogurt",2.35,17.06,1.18,,
16257,"SILK Blueberry soy yogurt",2.35,17.06,1.18,,
16247,"SILK Chai, soymilk",2.47,7.82,1.44,,
16237,"SILK Chocolate, soymilk",2.06,9.47,1.44,,
16249,"SILK Coffee, soymilk",2.06,10.29,1.44,,
16261,"SILK French Vanilla Creamer",0.0,20.0,6.67,,
16262,"SILK Hazelnut Creamer",0.0,20.0,6.67,,
16258,"SILK Key Lime soy yogurt",2.35,17.65,1.18,,
16240,"SILK Light Chocolate, soymilk",2.06,9.05,0.62,,
16238,"SILK Light Plain, soymilk",2.47,3.29,0.82,,
16239,"SILK Light Vanilla, soymilk",2.47,4.12,0.82,,
16248,"SILK Mocha, soymilk",2.06,9.05,1.44,,
16246,"SILK Nog, soymilk",2.46,12.3,1.64,,
16260,"SILK Original Creamer",0.0,--,6.67,,
16255,"SILK Peach soy yogurt",2.35,18.82,1.18,,
16252,"SILK Plain soy yogurt",2.64,9.69,1.76,,
16235,"SILK Plain, soymilk",2.88,3.29,1.65,,
16243,"SILK Plus Fiber, soymilk",2.47,5.76,1.44,,
16242,"SILK Plus for Bone Health, soymilk",2.47,4.53,1.44,,
16241,"SILK Plus Omega-3 DHA, soymilk",2.88,3.29,2.06,,
16254,"SILK Raspberry soy yogurt",2.35,17.65,1.18,,
16253,"SILK Strawberry soy yogurt",2.35,18.24,1.18,,
16244,"SILK Unsweetened, soymilk",2.88,--,1.65,,
16250,"SILK Vanilla soy yogurt (family size)",2.64,13.66,1.76,,
16251,"SILK Vanilla soy yogurt (single serving size)",2.94,14.71,1.76,,
16236,"SILK Vanilla, soymilk",2.47,4.12,1.44,,
16245,"SILK Very Vanilla, soymilk",2.47,7.82,1.65,,
20650,"Sorghum flour, refined, unenriched",9.53,76.85,1.24,,
20648,"Sorghum flour, whole-grain",8.43,76.64,3.34,,
20067,"Sorghum grain",10.62,72.09,3.46,,
01180,"Sour cream, fat free",3.1,15.6,0.0,,
01074,"Sour cream, imitation, cultured",2.4,6.63,19.52,,
01179,"Sour cream, light",3.5,7.1,10.6,,
